"","mean","sd","2.5%","97.5%","rhat","ess_bulk"
"Rho_d[1,1]",1,0,1,1,NA,NA
"Rho_d[2,1]",0.222649781353333,0.101627734997607,0.01729907,0.4112749,1.02062306211825,98.6353885171993
"Rho_d[3,1]",-0.26045405934,0.0929817250324266,-0.43227595,-0.0700652800000002,1.02159899157824,95.2314500131865
"Rho_d[4,1]",-0.0588880176125333,0.0823084221519161,-0.222943525,0.0888568249999996,1.02343862321254,112.621789752095
"Rho_d[5,1]",-0.549890169333333,0.0837159796593909,-0.699206525,-0.36969795,1.00859181007061,211.981372096258
"Rho_d[1,2]",0.222649781353333,0.101627734997607,0.01729907,0.4112749,1.02062306211825,98.6353885171993
"Rho_d[2,2]",1,0,1,1,NA,NA
"Rho_d[3,2]",0.837099619333333,0.0316355056592215,0.766889,0.8917236,1.00362811416064,353.001012659858
"Rho_d[4,2]",0.798526981333333,0.0356957926480068,0.7220166,0.85800705,1.01269554419371,148.394167845149
"Rho_d[5,2]",-0.188688269910667,0.0991323906161984,-0.3813556,0.00485421499999997,1.0058810948997,382.183315919926
"Rho_d[1,3]",-0.26045405934,0.0929817250324266,-0.43227595,-0.0700652800000002,1.02159899157824,95.2314500131865
"Rho_d[2,3]",0.837099619333333,0.0316355056592215,0.766889,0.8917236,1.00362811416064,353.001012659858
"Rho_d[3,3]",1,0,1,1,NA,NA
"Rho_d[4,3]",0.869494312666667,0.0269417300248405,0.810603375,0.918082825,1.0157467760432,275.857377937041
"Rho_d[5,3]",0.132865153857667,0.0887592818393496,-0.0486201924999999,0.2971679,1.00148816669879,770.320276510775
"Rho_d[1,4]",-0.0588880176125333,0.0823084221519161,-0.222943525,0.0888568249999996,1.02343862321254,112.621789752095
"Rho_d[2,4]",0.798526981333333,0.0356957926480068,0.7220166,0.85800705,1.01269554419371,148.394167845149
"Rho_d[3,4]",0.869494312666667,0.0269417300248405,0.810603375,0.918082825,1.0157467760432,275.857377937041
"Rho_d[4,4]",1,0,1,1,NA,NA
"Rho_d[5,4]",-0.262408203333333,0.0779577837218016,-0.4198907,-0.1113162,1.00318242399684,607.447597479692
"Rho_d[1,5]",-0.549890169333333,0.0837159796593909,-0.699206525,-0.36969795,1.00859181007061,211.981372096258
"Rho_d[2,5]",-0.188688269910667,0.0991323906161984,-0.3813556,0.00485421499999997,1.0058810948997,382.183315919926
"Rho_d[3,5]",0.132865153857667,0.0887592818393496,-0.0486201924999999,0.2971679,1.00148816669879,770.320276510775
"Rho_d[4,5]",-0.262408203333333,0.0779577837218016,-0.4198907,-0.1113162,1.00318242399684,607.447597479692
"Rho_d[5,5]",1,0,1,1,NA,NA
"sigma_d",1.15215252933333,0.0488140748100332,1.05780075,1.2421655,1.01255145566202,265.974158948884
"bt[1]",-0.110362289689667,0.275307840059911,-0.663972175,0.436247375,1.01077558661609,217.707019663221
"bt[2]",-0.160579986526933,0.259252907624772,-0.682942475,0.351237499999998,1.00436534864489,279.700650365626
"bt[3]",-0.321979782996667,0.271146726090969,-0.857395725,0.182759,1.00218450023812,254.098066660846
"bt[4]",-0.176741980482667,0.269336258770591,-0.712215875,0.34214655,1.00799922933462,191.384196449713
"bt[5]",0.0566618896918,0.261764132401489,-0.437312675,0.588326824999999,1.00749065517361,275.270988639603
"bt[6]",0.176872542955333,0.254235181044053,-0.3198433,0.683708325,1.01073262479379,255.444172170087
"bt[7]",0.489123357186,0.249712198045432,0.0237476575,0.98630555,1.00410091959252,241.307938206255
"bt[8]",0.963126584666667,0.240855806437754,0.48802205,1.41007975,1.00447150012645,209.645835440028
"bt[9]",0.758204173357333,0.259395610731505,0.235258175,1.25369725,1.00852720936681,210.463773389631
"bt[10]",0.663216003266667,0.254731938600415,0.15606325,1.16473825,1.00248891810487,232.907179130688
"bt[11]",0.361687406089333,0.251977432067346,-0.137737775,0.8380063,1.00405506400441,252.915019823659
"bt[12]",0.294480320227333,0.245558970353946,-0.1821309,0.762827949999999,1.00012219625551,258.809577566825
"bt[13]",-0.11227817937,0.258744297345956,-0.6235807,0.38103755,1.00363047124191,251.1284873298
"bt[14]",-0.271570548151333,0.270198595934341,-0.796286525,0.26694915,1.002482862379,268.355347492907
"bt[15]",-0.005377893552,0.259816851435144,-0.519696925,0.512043825,1.00691697458167,247.355658492531
"bt[16]",0.391687592233333,0.25341693896246,-0.1315809,0.89544975,1.00397368559769,252.516186488525
"bt[17]",0.34664378064,0.257997516913349,-0.147820975,0.86974645,1.00336344603671,221.146144574559
"bt[18]",0.7730419136,0.269808033951686,0.246332825,1.31199575,1.0058566933531,261.519491817955
"bt[19]",0.687731024306667,0.248075444464745,0.19019805,1.18179625,1.0076060693372,267.09501370578
"bt[20]",1.1685917094,0.248817898647093,0.6897072,1.65349525,1.0040750849565,244.081496937762
"bt[21]",0.7519302542,0.248904144744174,0.25728465,1.258065,1.00552754122913,213.396836299118
"bt[22]",0.232199488428667,0.253366691962746,-0.24839515,0.708760925,1.00820797143827,207.133950423332
"bt[23]",-0.0262339323193333,0.261087910697735,-0.537884125,0.484207625,1.00667948333942,223.079258797151
"bt[24]",-0.004783752428,0.261945358728244,-0.544546175,0.5063932,1.00728657489207,253.556418058604
"bd[1]",-0.193481178742667,0.360967288868359,-0.932460025,0.504337975,1.0053139768786,276.588118308136
"bd[2]",0.286017609788,0.342769829483319,-0.37215005,0.95167965,1.01176711570947,244.487568091636
"bd[3]",0.59581095666,0.348675721820683,-0.0902832799999998,1.29214825,1.00807689029297,226.199644421522
"bd[4]",0.673504213873333,0.353577121526581,-0.0579298874999999,1.32976875,1.01257967244219,229.476525588029
"bd[5]",1.531437894,0.346435659522235,0.8644758,2.19528775,1.01161632402347,230.234864868714
"bd[6]",1.458238204,0.348238018070006,0.775059225,2.140122,1.00925324584943,254.075008137888
"bd[7]",1.34808599133333,0.343873140443607,0.64909255,1.9924895,1.01569011314544,268.860105601322
"fp[1]",1.590876786,0.367619772916332,0.895140175,2.33520725,1.00684940504022,202.176979303521
