"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"Rho_d[1,1]",1,0,1,1,NA,NA
"Rho_d[1,2]",0.221250197809082,0.111822822324906,-0.0296296118901682,0.427992637771732,132.476106123155,1.01793043445239
"Rho_d[1,3]",-0.25597478442334,0.0993514454323405,-0.451666576104942,-0.06652027687118,144.953334433565,1.0084806033096
"Rho_d[1,4]",-0.0522709996616335,0.0905332562887594,-0.2405464776398,0.121633718724954,191.042890314135,1.01203820831481
"Rho_d[1,5]",-0.556489291526341,0.0833939255098105,-0.712381090506912,-0.378051903985094,187.622975359782,1.01059281219646
"Rho_d[2,1]",0.221250197809082,0.111822822324906,-0.0296296118901682,0.427992637771732,132.476106123155,1.01793043445239
"Rho_d[2,2]",1,9.35802534896709e-17,1,1,1365.19845677868,0.997997995989972
"Rho_d[2,3]",0.841672831317352,0.0294434929236718,0.779211472052069,0.893676941554252,492.852190981014,1.00526687394595
"Rho_d[2,4]",0.804243722125607,0.0360059837641054,0.725882541714855,0.865312386499632,366.20095028877,1.0038232505708
"Rho_d[2,5]",-0.197511773337594,0.102008653816339,-0.38289501945681,0.00571444427973907,403.330694493408,0.998533704577457
"Rho_d[3,1]",-0.25597478442334,0.0993514454323405,-0.451666576104942,-0.06652027687118,144.953334433565,1.0084806033096
"Rho_d[3,2]",0.841672831317352,0.0294434929236718,0.779211472052069,0.893676941554252,492.852190981014,1.00526687394595
"Rho_d[3,3]",1,0,1,1,NA,NA
"Rho_d[3,4]",0.872564348022247,0.0267209733319693,0.814218281056543,0.915835648713253,283.004701444334,1.018410619734
"Rho_d[3,5]",0.128061288117906,0.0906889066191296,-0.0504219310760898,0.299715560253967,816.271689416983,0.999433139998338
"Rho_d[4,1]",-0.0522709996616335,0.0905332562887594,-0.2405464776398,0.121633718724954,191.042890314135,1.01203820831481
"Rho_d[4,2]",0.804243722125607,0.0360059837641054,0.725882541714855,0.865312386499632,366.20095028877,1.0038232505708
"Rho_d[4,3]",0.872564348022247,0.0267209733319693,0.814218281056543,0.915835648713253,283.004701444334,1.018410619734
"Rho_d[4,4]",1,4.32988973636571e-17,1,1,239.430187095382,0.997997995989972
