DAFS,Hour,Hydro,cas.count,minutes.observed,fish.prox,hydro.type,hour.of.period
-4,10,H1,11,55,1,LARS,1
-4,11,H1,7,15,1,LARS,2
-4,12,H1,11,60,1,LARS,3
-4,13,H1,6,60,1,LARS,4
-4,14,H1,2,35,1,LARS,5
-4,15,H1,16,60,1,LARS,6
-4,16,H1,22,60,1,LARS,7
-4,17,H1,18,60,1,LARS,8
-4,18,H1,28,59,1,LARS,9
-4,19,H1,20,60,1,LARS,10
-4,20,H1,2,60,1,LARS,11
-4,21,H1,5,60,1,LARS,12
-4,22,H1,3,60,1,LARS,13
-4,23,H1,4,60,1,LARS,14
-3,0,H1,6,59,1,LARS,15
-3,1,H1,8,60,1,LARS,16
-3,2,H1,9,60,1,LARS,17
-3,3,H1,12,60,1,LARS,18
-3,4,H1,24,60,1,LARS,19
-3,5,H1,21,59,1,LARS,20
-3,6,H1,51,60,1,LARS,21
-3,7,H1,47,60,1,LARS,22
-3,8,H1,12,59,1,LARS,23
-3,9,H1,34,59,1,LARS,24
-3,10,H1,17,36,1,LARS,25
-3,11,H1,23,59,1,LARS,26
-3,12,H1,6,60,1,LARS,27
-3,13,H1,3,60,1,LARS,28
-3,14,H1,7,59,1,LARS,29
-3,15,H1,9,60,1,LARS,30
-3,16,H1,13,54,1,LARS,31
-3,17,H1,10,42,1,LARS,32
-3,18,H1,52,53,1,LARS,33
-3,19,H1,40,59,1,LARS,34
-3,20,H1,16,60,1,LARS,35
-3,21,H1,14,59,1,LARS,36
-3,22,H1,9,60,1,LARS,37
-3,23,H1,20,59,1,LARS,38
-2,0,H1,20,60,1,LARS,39
-2,1,H1,29,59,1,LARS,40
-2,2,H1,17,60,1,LARS,41
-2,3,H1,22,59,1,LARS,42
-2,4,H1,25,59,1,LARS,43
-2,5,H1,39,60,1,LARS,44
-2,6,H1,54,59,1,LARS,45
-2,7,H1,46,60,0,LARS,46
-2,8,H1,16,59,0,LARS,47
-2,9,H1,19,59,0,LARS,48
-2,10,H1,29,60,0,LARS,49
-2,11,H1,19,59,0,LARS,50
-2,12,H1,14,58,0,LARS,51
-2,13,H1,15,56,0,LARS,52
-2,14,H1,14,57,0,LARS,53
-2,15,H1,14,57,0,LARS,54
-2,16,H1,13,59,0,LARS,55
-2,17,H1,18,51,0,LARS,56
-2,18,H1,45,48,0,LARS,57
-2,19,H1,79,58,0,LARS,58
-2,20,H1,52,58,0,LARS,59
-2,21,H1,41,59,0,LARS,60
-2,22,H1,31,59,0,LARS,61
-2,23,H1,25,59,0,LARS,62
-1,0,H1,28,59,0,LARS,63
-1,1,H1,17,59,0,LARS,64
-1,2,H1,12,59,0,LARS,65
-1,3,H1,17,58,0,LARS,66
-1,4,H1,17,59,0,LARS,67
-1,5,H1,16,58,0,LARS,68
-1,6,H1,26,60,0,LARS,69
-1,7,H1,28,58,0,LARS,70
-1,8,H1,14,58,0,LARS,71
-1,9,H1,20,54,0,LARS,72
-1,10,H1,14,59,0,LARS,73
-1,11,H1,10,54,0,LARS,74
-1,12,H1,7,48,0,LARS,75
-1,13,H1,7,54,0,LARS,76
-1,14,H1,6,52,0,LARS,77
-1,15,H1,3,38,0,LARS,78
-1,16,H1,1,50,0,LARS,79
-1,17,H1,6,55,0,LARS,80
-1,18,H1,4,42,0,LARS,81
-1,19,H1,2,59,0,LARS,82
-1,20,H1,1,58,0,LARS,83
-1,21,H1,1,58,0,LARS,84
-1,22,H1,1,59,0,LARS,85
-1,23,H1,5,58,0,LARS,86
0,0,H1,5,59,0,LARS,87
0,1,H1,8,58,0,LARS,88
0,2,H1,7,59,0,LARS,89
0,3,H1,5,59,0,LARS,90
0,4,H1,5,59,0,LARS,91
0,5,H1,7,58,0,LARS,92
0,6,H1,7,59,0,LARS,93
0,7,H1,11,59,0,LARS,94
0,8,H1,36,58,0,LARS,95
0,9,H1,35,59,0,LARS,96
0,10,H1,5,59,0,LARS,97
0,11,H1,4,59,0,LARS,98
0,12,H1,6,57,0,LARS,99
0,13,H1,7,59,0,LARS,100
0,14,H1,4,58,0,LARS,101
0,15,H1,6,59,0,LARS,102
0,16,H1,5,57,0,LARS,103
0,17,H1,23,59,0,LARS,104
0,18,H1,2,59,0,LARS,105
0,19,H1,6,58,0,LARS,106
0,20,H1,5,59,0,LARS,107
0,21,H1,13,57,0,LARS,108
0,22,H1,6,58,0,LARS,109
0,23,H1,10,57,0,LARS,110
1,0,H1,4,59,0,LARS,111
1,1,H1,3,57,0,LARS,112
1,2,H1,1,59,0,LARS,113
1,3,H1,6,58,0,LARS,114
1,4,H1,10,58,0,LARS,115
1,5,H1,11,59,0,LARS,116
1,6,H1,10,56,0,LARS,117
1,7,H1,23,59,0,LARS,118
1,8,H1,36,57,0,LARS,119
1,9,H1,15,58,0,LARS,120
1,10,H1,12,57,0,LARS,121
1,11,H1,7,57,0,LARS,122
1,12,H1,1,58,0,LARS,123
1,13,H1,0,53,0,LARS,124
1,14,H1,2,50,0,LARS,125
1,15,H1,14,57,0,LARS,126
1,16,H1,10,57,0,LARS,127
1,17,H1,8,35,0,LARS,128
1,18,H1,0,37,0,LARS,129
1,19,H1,9,58,0,LARS,130
1,20,H1,11,58,0,LARS,131
1,21,H1,1,57,0,LARS,132
1,22,H1,3,58,0,LARS,133
1,23,H1,5,58,0,LARS,134
2,0,H1,8,58,0,LARS,135
2,1,H1,14,56,0,LARS,136
2,2,H1,14,56,0,LARS,137
2,3,H1,18,58,0,LARS,138
2,4,H1,14,58,0,LARS,139
2,5,H1,6,57,0,LARS,140
2,6,H1,12,58,0,LARS,141
2,7,H1,20,56,0,LARS,142
